"filename", "language", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href1-ISTORIJA\istorija.css", "CSS", 0, 0, -545, 0, -102, -647
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href1-ISTORIJA\istorija.html", "HTML", 0, -132, 0, 0, -12, -144
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href1-ISTORIJA\istorija.js", "JavaScript", -7, 0, 0, 0, -1, -8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href1-ISTORIJA\istorijaEng.html", "HTML", 0, -132, 0, 0, -11, -143
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href1-ISTORIJA\istorijaGer.html", "HTML", 0, -133, 0, 0, -14, -147
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href2-LOKACIJE\LokacijeEng.html", "HTML", 0, -117, 0, 0, -13, -130
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href2-LOKACIJE\lokacije.css", "CSS", 0, 0, -482, -1, -84, -567
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href2-LOKACIJE\lokacije.html", "HTML", 0, -116, 0, 0, -20, -136
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href2-LOKACIJE\lokacije.js", "JavaScript", -7, 0, 0, 0, -1, -8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href2-LOKACIJE\lokacijeGer.html", "HTML", 0, -117, 0, 0, -13, -130
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href3-ZAPOSLENI\zaposleni.css", "CSS", 0, 0, -644, 0, -137, -781
